class1,class2,class3,itemkey,title,body,body2,body3,subkey,remarks,secbody,secbody2,trititle,tribody,tribody2,state,state2,type,place,receiver,author,create_date,year,pdf,image,quantity,備考
,,,safe/20210104,骨髄採取後、抜管直後にけいれん発作がみられた事例について,"平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
この度、非血縁者間骨髄採取術において、抜管直後にけいれん発作がみられた事例が報告されました。麻酔薬による薬剤性けいれん発作と考えられ、情報共有の観点から周知いたします。

記
■経過（当該施設からの報告より）
ドナー情報：20 代 女性 ※神経・筋・痙攣疾患の既往なし、膝前十字靭帯損傷再建術歴あり

Day 0
・術中著変なし。軽度覚醒遅延あり
・11 時抜管直後に後弓反張けいれん出現。ホリゾン 5 ㎎×4 回静注。CT：出血病変なし
・12 時 10 分 HCU 入室。入室後も 2 回けいれん発作あり、ホリゾン、ホストイン、フェノバールを投与
・15 時 30 分頃に一過性の呼吸停止がみられたが自然回復
その後、徐々に意識レベルは改善。MRI：器質的病変、血管病変なし
・画像上異常なく、意識レベルが徐々に改善していることから経過観察の方針とした

＜使用麻酔薬＞
・導入時エスラックスを使用、維持はディプリバン＋レミフェンタニル

Day+1 ホストイン投与。けいれん発作や呼吸停止なし
Day+2 抗けいれん剤の投与なし。意識清明だが、運動機能の回復は遅延
Day+5 運動機能、日常生活動作は、ほぼ正常に回復
Day+6 退院
・専門診療科受診予定であるが、現時点では、ディプリバンによる薬剤性けいれん発作として、見解は一致(血液内科、脳神経外科、麻酔科)している。

以上",,,,,,,,,,安全情報,,骨髄採取,,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位
麻 酔 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",令和3年1月4日,2021/1/4,safe/20210104,,,
,,,alert/20201208,ドナー適格性判定基準（ＢＭH／ＰＢＳＣH）（2020/12/8）,"【臨床的な問題】 P7
旧 
新
詳細 
BM 
PB 
詳細 
BM 
PB
血管迷走神経反射

過去に VVR を起こした場合、血管迷走神経反射(VVR)
判定基準において、

以下、血管迷走神経反射(VVR)判定基準において判断
ⅰ）必須症状・所見がなければ VVR とはいわない。
ⅱ）Ⅱ度では意識喪失の症状を認めることを必須とする。

Ⅰ度 ： 血圧低下 顔面蒼白、冷汗 徐脈（＞40/分）、悪心などの症状を伴うもの
B 
B 
Ⅰ度
必須症状・所見 ： 血圧低下，徐脈（＞40/分）
他の症状 ： 顔面蒼白，冷汗悪心などの症状を伴うもの
B 
B
Ⅱ度 ： I 度に加えて意識喪失 嘔吐、徐脈(≦40／分)
血圧低下(＜90Pa)
C 
C 
Ⅱ度
必須症状・所見 ： I 度に加えて意識喪失，徐脈(≦40／分)，血圧低下(＜90Pa)
他の症状 ： 嘔吐
B 
B
Ⅲ度 ： Ⅱ度に加えて痙攣、失禁 
C 
C 
Ⅲ度
必須症状・所見 ： Ⅱ度に加えて痙攣、失禁 
D 
D",,,,,,,,,,通知文,,,,記入ナシ,記入ナシ,令和2年12月8日,2020/12/8,alert/20201208,,,
,,,safe/20201015-1,非血縁者間末梢血幹細胞採取 2 日間とも採取不良であった事例について,"平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
このたび、PBSCH を 2 日間実施し、初日は採取産物量、細胞数ともに少なく、2 日目は採取産物が全くなかった事例が報告されました。本委員会では、当該施設からの報告書またテルモ BCT の調査結果等をもとに検証を行い、採取認定施設へ周知することといたしました。

記
■概要
＊使用機器 Spectra Optia（MNC モード）
【1 日目】 9：20 採取開始、15：10 採取終了
総処理血液量：8775ml、採取血液量：40ml
有核細胞数：0.84×1010 、CD34 陽性絶対数：0.136×108、患者体重当たり：0.26×106
【2 日目】11：03 採取開始、15：20 採取終了 大腿静脈アクセスあり
総処理血液量：4989ml、採取血液量： 0ml、有核細胞数：0、CD34 陽性絶対数：0

・末梢血管の確保が困難であり、2 日目は大腿静脈を確保できたが採血流量が安定せず、インターフェイスの再形成を繰り返したことで、チャンバーへの充填が十分にできず 1 日目は2 回（40ml）と少量の採取にとどまり、2 日目は 1 回も採取できずに終わる。

■本委員会の見解
ドナーの血算などは、通常のドナーと異なる点は見当たらない。テルモ BCT の報告書からは機器には問題がなかったと読み取れ、機器の操作を含む複数の要因が重なったため、採血の不良に至ったものと推測する。
初日の採取不良から採取 2 日目までの対応としても、初日の採取が通常と異なるにも関わらず、2 日目にも同様の操作が行われており、途中や終了後に相談するタイミングはあったが、テルモ BCT への相談は行われていなかった。
問題点は、異常を感じたときに危機感を持ってテルモ BCT への相談や骨髄バンクへの報告がなかったことである。

以上",,,,,,,,,,安全情報,,末梢血,,"非血縁者間末梢血幹細胞採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",令和2年10月15日,2020/10/15,safe/20201015-1,,,
,,,safe/20201015-2,自己血が冷蔵状態で凝集があった事例について,"平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
このたび、骨髄採取術前日に自己血 2 バッグに凝集が確認され、寒冷凝集素症、発作性寒冷ヘモグロビン尿症などを疑い中止された事例が報告されました。
この報告を受け、本委員会で検討した結果、事例の共有、また自己血の凝集が採取直前に発見されたということであり、下記対応について通知することといたしました。

記
1. 概要（当該施設からの報告書より）
入院時、自己血が冷蔵状態で 2 バッグとも凝集しており、明らかな寒冷凝集素と思われる反応があり、不規則抗体陽性であった。
自己血は室温に戻すと肉眼的には凝集は消失、血漿クリアでスメア標本では赤血球形態は保たれていることから、寒冷凝集素症、発作性寒冷ヘモグロビン尿症などを疑い、採取中止とした。また、術前検査では、冷式抗体を疑わせる非特異的な反応(1+)あり、弱い非特異的反応、冷式抗体の存在が疑われたが、抗体パネルスクリーニング陰性であったため、通常のクロスマッチの時と同様に臨床的意義のある抗体はないと勘違いし、不規則抗体陰性と結果報告した。今後このような事態が生じないよう輸血部と下記の 2 点について再確認した。
①強弱にかかわらず寒冷凝集素と思われる反応も必ず報告すること。
②自己血は保存時のみ凝血など目視確認はされていたが、後日、凝血・色調などの目視確認もすること。

2. 対応
このたびの症例を受け、保存自己血は定期的に観察（目視による凝血の有無、色調など）することが望ましい。

以上",,,,,,,,,,安全情報,,骨髄採取,,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",令和2年10月15日,2020/10/15,safe/20201015-2,,,
,,,alert/20201015,骨髄・末梢血幹細胞提供者由来の遺伝学的情報を含む臨床的意義のある情報開示に関するご意思の確認について (Q&A)一部改訂について（2020/10/15）,"
項目 
旧 
新
Ｑ５． 
これまでに、事例があったか？ 何例くらいあったのか？

Ａ．平成 28 年 12 月までに、42 例が報告されました。その内、骨髄移植した後にドナー由来の骨髄細胞が患者の体内で増える際に生じたと考えられる体細胞変異は 16 例（骨髄異形成症候群, 急性骨髄性白血病等）、ドナーが生来有していたと考えられるが、ドナーは健康な成人であることから疾患とは関係のない生殖細胞系列変異は 26 例（性染色体異常※1，均衡型構造異常※2，ミトコンドリア遺伝子異常※3 等）です。審査の結果、23 例（体細胞変異 11 例、生殖細胞系列変異 12 例）について開示の意義があると判断され、18 例（体細胞変異 8 例、生殖細胞系列変異 10 例）について専門医療機関等において面談が実施されました。残りの 5 例中、 1 例はドナー居住地不明のため面談できず、もう 4 例は開示を辞退されました。
○非血縁者間骨髄移植件数 20,237 件(2016.12 末現在)

これまでに、何例くらい事例があったのか？
Ａ．2020 年 8 月末までに、68 例が報告されました。その内、造血幹細胞移植後にドナー由来の幹細胞が患者の体内で増える際に生じたと考えられる体細胞変異は 25 例（骨髄異形成症候群, 急性骨髄性白血病等）、ドナーが生来有していたと考えられるが、ドナーは健康な成人であることから疾患とは関係のない生殖細胞系列変異は 43 例（性染色体異常※1，均衡型構造異常※2，ミトコンドリア遺伝子異常※3 等）です。
審査の結果、35 例（体細胞変異 18 例、生殖細胞系列変異 17 例）に
ついて情報開示の意義があると判断されました。
○非血縁者間造血幹細胞移植件数 24,632 件(2020.8 末現在)",,,,,,,,,,通知文,,,,記入ナシ,記入ナシ,令和2年10月15日,2020/10/15,alert/20201015,,,
,,,alert/20200518,新型コロナウイルス感染症対策における採取前検査（PCR 検査/CT 検査）を実施される施設の先生方へ(お願い),"新型コロナウイルス感染症（COVID-19）蔓延下、移植医療継続のため日々ご尽力を賜り感謝申し上げます。

さて、COVID-19 拡大の現状において、一部の非血縁者間骨髄採取認定施設より、施設の方針により採取前（入院時等）に PCR 検査/CT 検査が導入され、採取予定ドナーに対しても実施する旨ご連絡を受けております。

つきましては、施設の方針により採取ドナーに対して検査を実施される場合には、事前にドナーの方へご説明（CT 検査においては被爆に関するリスク等を含め）をいただきますようお願いいたします。

今後とも骨髄バンク事業の推進にご協力の程お願い申し上げます。

以上",,,,,,,,,,通知文,,骨髄採取,,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
理事長 小寺 良尚",令和2年5月18日,2020/5/18,alert/20200518,,,
,,,safe/20200415,骨髄採取後、左中臀筋血腫事例について ,"このたび、骨髄採取を実施し、退院後(採取後 Day+7)に強い痛みを感じ歩行不能となり救急外来を受診、左中臀筋に血腫を認め再入院となった事例が報告されました。
本委員会で検討した結果、過去の同様事例についても骨髄採取退院後に症状が憎悪し再入院となっていることもあるため、情報共有の観点からご報告いたします。

■本事例に関し採取施設からの報告によれば以下のような経過です。
<ドナー情報> 20 歳代 男性

<経過>
Day 0 骨髄採取
Day +2 退院 Hb12.1 g/dl
Day +3 かがみ込んだ際に痛みあり、2－3 時間後に消失。以降も同様のエピソードあり
Day +5 外来受診
痛みは改善傾向であったためロキソニン 60mg x3 を開始し経過観察とした
Day +7 救急外来受診 再入院
立位で靴を履こうとした際に強い痛みがあり歩行不能、救急外来受診
単純 CT 検査、左中臀筋に最大径 12 ㎝程度の血腫を認めた。骨には穿刺痕が複数個所みられるが、骨盤腔内に及んでいるものは見当たらない
経静脈的にカルバゾクロムスルホン酸ナトリウム, トラネキサム酸開始、整形外科と相談のうえ安静・冷却にて経過観察。Hb 10.9 g/dl
Day +8 Hb 10.5 g/dl
Day+10 Hb 11.5 g/dl と上昇傾向、同日の造影 CT 検査でも活動性出血はないことを確認
Day+15 退院
 Hb 12.5 g/dl 超音波検査で血腫の増大傾向はなかったため、自宅安静とする
Day+23 再診
左臀部の血腫はほぼ触知せず、Hb 14.1 g/dl まで改善。跛行もほぼ消失","＜採取方法等について＞
・穿刺回数は左右とも約 50 回ずつ。皮膚の穿刺痕は左右２か所ずつ計４ヵ所。
・穿刺の方向は皮膚から腸骨稜に沿って垂直に穿刺した(CT でも骨に穿刺痕が見える)。
・骨髄採取マニュアル図 6 採取部位試案における部位１に相当すると考えます。部位 2、側方からの穿刺は行っておりません（下記 図 6 参照）。
・穿刺針シーマン 13G,2 インチ、骨髄腔に先端が到達したと考えられるあたりから 10mlシリンジを用いて約 10ml 採取し、穿刺後ガーゼで圧迫することを繰り返した。
・採取後は創部をガーゼで圧迫止血したのち、エラスティックテープを放射状に張り付けて圧迫を行った。
・術当日夕方に圧迫を解除し、血腫などないことを確認し、再度エラスティックテープで圧迫。翌日に圧迫を解除し、翌々日に血腫がないこと、Hb の低下が進行していないことを確認し退院とした。退院まではこれまでと変わりない経過でした。
・放射線科読影では、出血の責任血管は左上殿動脈であろうとのこと。明らかな破格はなさそうです。

以上

＜ご参考＞
■骨髄採取マニュアル ホームページ版 P29
https://www.jmdp.or.jp/medical/work/manual.html

間に画像あり

※同様事例 P31 骨髄採取後、左中臀筋内に血腫を認めた事例（2015 年 3 月）（2015 年 4 月 緊急安全情報発出、2015 年 9 月 安全情報発出）
https://www.jmdp.or.jp/donation/donorflowup/04.html",,,,,,,,,安全情報,,骨髄採取,,"非血縁者間骨髄採取認定施設
採取責任医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",令和2年4月15日,2020/4/15,safe/20200415,,,
,,,alert/20200415-1,末梢血幹細胞採取完了報告書（ハーベストレポート）の項目追加について(通知) ,"平素より骨髄バンク事業の推進に格別のご高配を賜り厚く御礼申し上げます。
さて、末梢血幹細胞採取において、赤血球混入量が多く含まれていた症例が報告されており、移植施設
よりハーベストレポートに「プロダクトのヘマトクリット値」の追加検討依頼があり、当法人医療委員会、ドナ
ー安全委員会で検討の結果、ハーベストレポートに「ヘマトクリット値」の項目を追加することとなりましたので、ご対応くださいますようお願いいたします。

記
1. 運用開始 : ２０２０年 ４月 ２０日 帳票変更分より順次

2. 追加項目 ： ヘマトクリット値 ： ％
※採取産物の液量とヘマトクリット値から、20ml 以上の赤血球の混入量が想定される
血液型主不適合の移植の場合には、移植施設にて赤血球除去をご検討ください。

＊別紙 末梢血幹細胞採取完了報告書（ハーベストレポート） 参照

3. 項目追加の経緯 ：
血液型主不適合ドナーからの PBSC 移植時にプロダクトへの赤血球混入量が多く、患者へのリスク回避のため輸注前に急遽対応が必要となったケースが複数報告され、移植施設より輸注後のリスク評価、および赤血球処理の要否判断や対応準備が行える等により、ハーベストレポートにヘマトクリット値を追加することについて検討依頼があった。
 
＜移植施設の先生方へ＞
日本通運（株）へ運搬委託されている場合で、事前にヘマトクリット値を把握したい場合には、直接、採取施設へお問い合わせいただきますようお願いいたします。

以 上",,,,,,,,,,通知文,,末梢血,,"非血縁者間末梢血幹細胞採取/移植認定施設
採 取 責 任 医 師 各 位
輸 血 責 任 医 師 各 位
診 療 科 責 任 医 師 各 位
移 植 医 師 各 位","公益財団法人 日本骨髄バンク
医療委員会
ドナー安全委員会",令和2年4月15日,2020/4/15,alert/20200415-1,,,
,,,alert/20200415-2,末梢血幹細胞採取完了報告書（ハーベストレポート・1日目）,画像でコピペできない,,,,,,,,,,,,,,記入ナシ,記入ナシ,令和2年4月15日,2020/4/15,alert/20200415-2,,,
,,,safe/20200313-1,骨髄液バッグのシーリングについて ,"拝啓
平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
このたび骨髄移植施設より、「事例 1.骨髄液バッグにヒートシーリングがされていない（写真①）」、骨髄採取施設より、「事例 2.シーリング時にチューブを切断した」との報告（別紙参照）がありました。
これらの報告は、過去にも同様事例が報告されており、当委員会では再発防止の観点から周知いたします。
つきましては、下記内容をご確認いただき、適切なご対応をお願い申し上げます。

敬具

記

対応 ： 骨髄液バッグのシールドは、バッグの作成上必須作業である。
 シールドに関しては、シーラーの使用法を習熟すること。
また、骨髄バッグの受け渡しの際には、骨髄受領書のチェック項目を採取施設および運搬担当者相互で確認をすること。

以上
＜参考＞
〇 同様事例発出文 骨髄液バッグのシーリングについて（注意喚起）
2016 年 4 月 15 日発出 https://www.jmdp.or.jp/medical/notice_w/post_307.html

〇「骨髄採取マニュアル ホームページ版 (2019.8.15 改訂)」P11
 https://www.jmdp.or.jp/medical/work/manual.html",,,別 紙,"■事例 1. ヒートシーリングがされていなかった（移植施設からの報告）
骨髄液受領、包装されていた紙に若干の骨髄液付着が認められ、骨髄液バッグが結紮のみでシールドされていなかった。骨髄バッグの破損は認められず、外界との交通はなしと考えられた。
(写真①)

■事例 2. シーリング時にチューブを切断した（採取施設からの報告）
骨髄液バッグのライン付け根から４~5 ㎝程度の所をシーラー時に切断(焼灼)した。骨髄液の流出あり(3ml 程度)鉗子でクランプ、クレンメはラインの最下流で閉めてあった。
残ったラインは４~5 ㎝程度、クランプの上流は約 2 ㎝あり、その隙間でクランプを外さないままシーリング。クランプを外したあと、下流でもう一か所シールを行った。
今回、結紮忘れ、クランプ位置、シーリング方法の三つに不備がありました。

■推奨されるシーリング例
「骨髄採取マニュアルホームページ版 (2019.8.15 改訂)」より抜粋（P11）
結び目
クランプ
シールド

以上",,,,,,安全情報,,骨髄採取,,"非血縁者間骨髄採取認定施設
採取責任医 師 各 位
輸血責任医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",令和2年3月13日,2020/3/13,safe/20200313-1,,,
