class1,class2,class3,itemkey,title,body,body2,body3,body4,body5,subkey,remarks,secbody,secbody2,trititle,tribody,tribody2,state,state2,type,place,receiver,author,create_date,year,pdf,image,quantity,備考
,,,doctor/20210104,骨髄採取後、抜管直後にけいれん発作がみられた事例について ,"平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
この度、非血縁者間骨髄採取術において、抜管直後にけいれん発作がみられた事例が報告されました。麻酔薬による薬剤性けいれん発作と考えられ、情報共有の観点から周知いたします。

記
■経過（当該施設からの報告より）
ドナー情報：20 代 女性 ※神経・筋・痙攣疾患の既往なし、膝前十字靭帯損傷再建術歴あり

Day 0
・術中著変なし。軽度覚醒遅延あり
・11 時抜管直後に後弓反張けいれん出現。ホリゾン 5 ㎎×4 回静注。CT：出血病変なし
・12 時 10 分 HCU 入室。入室後も 2 回けいれん発作あり、ホリゾン、ホストイン、フェノバ
ールを投与
・15 時 30 分頃に一過性の呼吸停止がみられたが自然回復
その後、徐々に意識レベルは改善。MRI：器質的病変、血管病変なし
・画像上異常なく、意識レベルが徐々に改善していることから経過観察の方針とした

＜使用麻酔薬＞
・導入時エスラックスを使用、維持はディプリバン＋レミフェンタニル

Day+1 ホストイン投与。けいれん発作や呼吸停止なし
Day+2 抗けいれん剤の投与なし。意識清明だが、運動機能の回復は遅延
Day+5 運動機能、日常生活動作は、ほぼ正常に回復
Day+6 退院
・専門診療科受診予定であるが、現時点では、ディプリバンによる薬剤性けいれん発作として、見解は一致(血液内科、脳神経外科、麻酔科)している。

以上",,,,,,,,,,,,安全情報,医師宛通知文,骨髄採取,ドナーの有害事象,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位
麻 酔 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",2021年1月4日,2021/1/4,doctor/20210104,,,
,,,committee/20201217,輸注時に点滴スタンドが倒れ骨髄液が流出した件について,"拝啓　日頃より骨髄バンク事業にご理解、ご協力をいただき誠にありがとうございます。
今般、輸注時に点滴 スタンド が倒れ、ルートから骨髄液が流出した事例が報告されました。

いずれの施設 においても 、同様の事象が起きないよう 予防策をとられている か と 存じ ます が、当該
施設 より 再発予防策が 提示されましたので 、参考 としていただきたく 情報提供いたします。
詳細は別紙 移植施設からの報告書 および添付の写真 をご参照ください。
敬具

＜問い合せ先＞
公益財団法人日本骨髄バンク　移植調整部
TEL０３ ５２８０ ４７７１
FAX ０３ ５２８０ ３８５６",,,,,■輸注時に点滴スタンドが倒れ骨髄液が流出した事例,"１．経 過
14時50分頃に骨髄液を当院で受け取った。骨髄液は 2 バッ グに分かれた状態で受け取り 、 1バッグにまとめて細胞数を測定し病棟へ運搬した。 15時32分から患者の病室で担当医師2名、看護師2名同席で骨髄液の輸注を開始、バイタルサインの変化が無いことを確認し 16 時頃に退室した。
17時頃、患者がトイレへの移動後に輸液ポンプに電源コードを うまく接続できず 、 抜き差しを繰り返した結果電源コードを引っ張ったことで 輸液ポンプ用スタンド が患者側に倒れ、バッグと点滴ルートの接続部が外れてしまい、骨髄液が室内に流出した。 輸液ポンプの操作は患者のみで行っていた。
バッグは輸液ポンプ用 スタンド（ 5 本脚）に吊り下げられた状態で、点滴 ルートはクリップで 輸液ポンプ用スタンドに直接固定されていたため 、 接続部の清潔は保たれていた。すぐに患者がナースコールをし、かけつけた看護師がバッグに ルートを接続し直したことで流出は止まった。
輸液ポンプの積算量の 記録から、流出までに投与できた骨髄液量は388mLと推定された。 点滴ルート内の骨髄液を生理食塩水でフラッシュした後、新しいルートをバッグに再接続して、17 時 34 分に投与を再開した。輸液ポンプの積算量の 記録から投与再開後に投与できた骨髄液量は772mLであり、合計で1160mL投与できたと推定された。受け取り時点での骨髄液量が1500mL （希釈液含む）であるため、 340mL 程度が流出していた。

２．考えられる原 因
骨髄液（約1500mL と維持輸液2000mL）が同時に点滴スタンド に吊り下げられていたため 輸液ポンプ用スタンドが不安定な状態であったこと 、患者のみで輸液ポンプを操作したことが一因と考えられる。

３．患者さんへの説明
上記の経過の共有および、当院での骨髄液量の細胞数の測定結果から、骨髄液1160mL 中の有核細胞数は 2.44 × 10 8 /kg であり、生着への大きな影響は無いと考えられることを説明した。

＜再発防止策＞
１骨髄液バッグについて
（１）ルートを確実に固定 すること
ルートが骨髄液のバッグから外れるリスクから、当院では以前から点滴スタンド に直接クリップでルートを固定していました（添付図1 ）。","今後は、添付図2 のようにル ートの固定を強化します。

（２）輸注バッグ の中身を まとめない こと
当院では正確な細胞数を知るため、複数のバッグで骨髄液が届いた場合に、1つのバッグに移した後、検体を一部採取して検査していました。また、病棟でバッグにルートを接続する回数を1 回にすることで、輸注する骨髄液が不潔になることも防止していました。
今回のインシデントにより、バッグを1 つにすることでそ の重量により点滴が不安定となるリスクがわかり、今後は複数のバッグで届いた場合は、1 つのバッグに移動する操作は行わないこととします。
また、バッグを分けた状態とすることで1 バッグになんらかの不具合が発生した際のリスク分散にもつながると考えます。

２．スタッフの体制について
（１） 輸液ポンプの操作はスタッフで実施
移植中のトイレ歩行の際など、 輸液ポンプ用 スタンドの操作 が必要な際は必ずスタッフが操作を行うこととしました 。

（２ ）輸注中の見守りの徹底
移動時は、必ずナースコールを押し、スタッフと一緒に移動することとしました。
以 上",,,,,医療委員会通知,安全情報,骨髄採取,採取産物・採取バッグ関連,"日本造血細胞移植学会移植認定診療科責任医師　各 位
移植医師　各 位","（公財）日本骨髄バンク
医療委員会",2020年12月17日,2020/12/17,committee/20201217,,,
,,,committee/20201214,骨髄液凍結の処理過程で幹細胞が十分に回収されず廃液に流出した件について（続報）,"拝啓 日頃より骨髄バンク事業にご理解、ご協力をいただき誠にありがとうございます。
過日、骨髄液凍結の濃縮処理過程で幹細胞が廃液に流出した件について、緊急に情報提供を行いました。https://www.jmdp.or.jp/medical/notice_f/post_455.html
原因について確認中でしたが、この度、製造元のフレゼニウス カービージャパン(株) より
移植施設に調査報告書が提出されましたので、続報としてご報告いたします。
詳細については添付報告書をご参照ください。
なお、今回のケースでは、1 度目のサイクルボリューム設定が多かったことが要因と考えられるため、廃液としたバッグを同様に再処理しても細胞は回収できなかった旨の追加報告がありました。
新型コロナ感染症下において、特別対応としての凍結申請が継続して出されております。
先生方にも十分ご留意いただきたく、科内を併せ関係部署へも報告書の内容を周知下さいますようお願い申し上げます。
敬 具
＜問い合わせ先＞
公益財団法人日本骨髄バンク移植調整部
TEL ０３-５２８０-４７７１
FAX ０３-５２８０-３８５６",,,,,骨髄液の濃縮過程で幹細胞が十分に回収されなかった件についてのご報告（案）,"謹啓 時下、ますますご清祥のこととお慶び申し上げます。
平素は格別のご高配を賜り、厚く御礼申し上げます。
さて、貴施設において、弊社の成分採血装置「COM.TEC」、「P1Y 白血球セット」および「BMSC 骨髄バッグセット（ツインバッグ）」を使用し骨髄液の濃縮処理をする過程において、幹細胞が十分に回収できな
い事象が発生し、貴施設並びに患者様に大変ご迷惑をおかけいたしましたことについて、心より深くお詫び申し上げます。今回発生しました不具合事象につきまして、その事象の概要、これまでに入手させていただいた情報、考えられる原因、そして対策について以下の通り報告させていただきますのでご確認いただきますようお願い申し上げます。
敬白
記
1. 不具合事象の概要：
・今回、骨髄バンクより受け取った骨髄液 1,600mL を、弊社の成分採血装置「COM.TEC」、
アフェレーシスセット「P1Y 白血球セット」、および BMSC 骨髄バッグセットを使用して濃縮・回収操作を実施した。
・濃縮処理が終了し処理血液の細胞数を確認したところ、目的とする幹細胞分画は濃縮されず、ほとんどが BMSC 骨髄バッグ（以下、骨髄バッグ）内に残存していた。採取バッグ内の細胞は処理前の７％程度であり、ほとんど回収されていないことが分かった。分離した際の骨髄液はオ
リジナルの骨髄バッグに移動させ廃棄した。
・後日に予定されていた骨髄移植に向けた前処置の中止を決定し、患者さんへ状況を説明した上で臍帯血移植に切り替えて実施した。
2. 入手した情報のまとめ
・貴施設においては、弊社の装置・各種セットを使用しこれまでにも骨髄液の濃縮処理を実施しているが、現在までに同様の事象が発生したことはなかった。
・今回は、骨髄バッグに移送した骨髄液 1,600mL を対象に濃縮処理を実施したが、最初の処理容量のパラメータであるサイクルボリュームを対象血液量と同じ 1,600mL に設定し 3 サイクルの分離・濃縮を実施した。
・装置による濃縮工程においては、分離されたバフィコート層と思われる部分を回収したが、結果的に回収されたバフィコートには目的とする骨髄幹細胞がほとんど含まれていないことが分かった。","3. 考えられる原因について
・今回発生した事象につきまして、貴施設よりいただきました手順書、処理された骨髄液の処理前・処理後・廃液された各バッグの検査データ、また、当日の処理のご様子などの情報を検討させていただきました結果、分離開始前に行われるパラメータの設定において、最初の処理予定の骨髄液量の設定値((V(Cycle):サイクルボリューム)と処理サイクル数が、今回発生した事象の要因ではないかということが推察されました。
・１サイクルに大容量の骨髄液の処理を実施したことにより、処理する過程で、分離されたバフィコートの層が厚くなり、バフィコート回収前に赤血球ポートから押し出された可能性があり、そのため分離チャンバーから十分に押し出されなかった可能性が考えられました。また、厚くなったバフィコートはその残りの多くが重くなり赤血球層の上部に残存していた可能性があります。
・一部のバフィコート（7％）が回収されていることから、一部の細胞は分離されて回収されたものと考えられました。
・今回処理された骨髄液に含まれる有核細胞数は平均的な数値でしたが、弊社の機器の取扱説明書に記載の通り、白血球数が多い骨髄液の場合は、バフィコートが急速に形成される場合があります。それらの要因が重なり、今回の事象が発生してしまった可能性が高いと思われます。
4. 対策について
・今回の事象の発生が一度に大容量の骨髄液の処理を実施したことにより発生した可能性が高いことから、以下に記載する一般的なパラメータ設定（例）による骨髄濃縮処理をお願いする
次第です。
処理する骨髄液の容量が
- 900mL の場合：300mL で 3 サイクル、600mL で 3 サイクル（計 6 サイクル）
- 1200mL の場合：300mL で 4 サイクル、600mL で 4 サイクル（計 8 サイクル）
- 1500mL の場合：300mL で 5 サイクル、600mL で 5 サイクル（計 10 サイクル）
・上記パラメータの変更に伴い、サイクルボリュームだけでなく、他のパラメータの変更も必要ですが、サイクルボリュームを300mL に設定し 処理していただいた場合、形成されるバフィコートも一定の範囲であり、上述のような事象の発生を防ぐことができると考えております。
・初期設定のサイクルボリュームは300mLとしており、処理する骨髄液量に合わせてサイクル数を調整していただき、次の濃縮工程以降においては（骨髄バッグに残存する回収対象の細胞数に合わせて）最初の倍量等でサイクル数を調整し処理いただくことでより確実な回収・濃縮が実現できると考えられます。
・今後は、より安全で効率の良い操作方法の周知徹底に努める事とし、より安心して実施いただける手順をまとめた資料、および注意を喚起する文書を作成しご案内させていただくとともに、説明会・勉強会を通して、広く告知できるよう努力してまいります。
これまで、国内においては、同様の事象の発生を経験しておりませんでしたが、今回、弊社の製品のご使用によって不測の事態を招き、貴施設、並びに患者様に大変なご迷惑をお掛けしましたことについて、重ねて深くお詫び申し上げます。
以上",,,,,医療委員会通知,,骨髄採取,採取産物・採取バッグ関連,"日本造血細胞移植学会移植認定診療科責任医師 各位
移植医師 各位","（公財）日本骨髄バンク
医療委員会",2020年12月14日,2020/12/14,committee/20201214,,,
,,,committee/20201023-2,骨髄液凍結の処理過程で幹細胞が十分に回収されず廃液に流出した件について,"拝啓 日頃より骨髄バンク事業にご理解、ご協力をいただき誠にありがとうございます。
今般、凍結予定で採取された骨髄液を、骨髄液濃縮のため血球分離装置（COM.TEC）にか
けたところ、幹細胞のほとんどが廃液分画に含まれており、使用不可となった事例が発生しました。細胞数が極めて減少したため、生着は不可能と判断され、臍帯血移植に移行することとなりました。
原因については継続して確認中ですが、以下の点で重要と思われることから緊急に情報提供をいたします。
① COM.TEC を使用している施設にとっては大変重要な情報であること
② 分離後の赤血球層をすぐには廃棄せずに保管しておくことで、幹細胞が失われるという
最悪のリスクは回避可能となること
新型コロナ感染症下において、特別対応としての凍結申請が継続して出されております。
先生方にも十分ご留意いただきたく、科内を併せ関係部署へも至急ご周知下さいますようお願い申し上げます。
詳細は別紙移植施設からの報告書をご参照ください。
敬具
＜問い合わせ先＞
公益財団法人日本骨髄バンク移植調整部
TEL ０３-５２８０-４７７１
FAX ０３-５２８０-３８５６",,,,,( 別紙 ),"以下は移植施設からの報告を全文掲載しています。

■骨髄液凍結の処理過程で幹細胞が十分に回収されず廃液に流出した事例
1. 経 過
10/○(○曜日)14 時 30 分頃に骨髄液を受け取り、骨髄液濃縮のため血球分離装置(COMTEC)
の回路に接続。処理前に cell count, CD34+cell 数を確認するため、検体採取施行。骨髄液処理開始。
17 時前に処理終了し、臨床工学技士より product 受け取り。product の cell count,CD34+cell
数を確認するため、検体採取施行。分離した赤血球層は廃液としてその時点で廃棄した。
18 時過ぎに product の細胞数および CD34+cell が非常に少ないことが判明(CD34+cell の収
率が 7%)。18 時 20 分頃に廃液の cell count, CD34+cell 数を確認するため、検体採取施行。
約 1 時間後に結果判明し、幹細胞分画のほとんどが廃液の方へ入っていたことが判明。
product はアルブミン添加 CP-1 液で凍結保存。product の細胞数が極めて少ないため、10/○
(○曜日)開始予定だった前処置中止を決定。患者さんへ上記経緯を説明。
処理前の有核細胞数:2.08×10e10
処理前の CD34+cell 数:1.928×10e6/kg (患者体重:67.2kg)
処理後の有核細胞数:0.11×10e10
処理後の CD34+cell 数:0.135×10e6/kg (患者体重:67.2kg)
2. 考えられる原因
骨髄液の細胞分離の際に、かなり浅い層を回収した可能性がある(ほとんどが廃液の方へ入っていたため)。
3. 再発防止策など対策
product の細胞数が判明するまでは、廃液も捨てずに保管しておく。
今回は血液型一致であり、赤血球層を少し多めに含む形でも良いので、深めに採取する。
4. 患者さんへの説明
「頂いた骨髄液を凍結するため、細胞処理の機械を回して処理したところ、幹細胞がほとんどない状態となってしまい、廃液の方へ幹細胞が流出してしまいました。処理後の骨髄液は細胞数が極めて少なく、これを移植しても生着しないことが予想されるため、明日から開始を予定していた前処置を中止しようと思います。大変申し訳ありませんでした」と謝罪した。
 以 上",,,,,,医療委員会通知,,骨髄採取,採取産物・採取バッグ関連,"日本造血細胞移植学会移植認定診療科責任医師 各位
移植医師 各位","（公財）日本骨髄バンク
医療委員会",2020年10月23日,2020/10/23,committee/20201023-2,,,
,,,committee/20201023-1,運搬時に空港で骨髄液が X 線検査機を通過した件について,"拝啓 日頃より骨髄バンク事業にご理解、ご協力をいただき誠にありがとうございます。
今般、空港の保安検査場において、骨髄液運搬ボックスが X 線検査機を通過した事例が発
生しました。
運搬した業者(日本通運(株))および保安検査担当業者（ALSOK(株)）に対しては、関係者への速やかな事例の周知ならびに再発防止策の策定を求めましたが、自施設で運搬される際にも起こりうる事例ですので、再発防止の観点から情報提供いたします。
なお、十分な細胞数があったことから、患者さん了解のうえ、運搬日当日に移植実施され
ました。
先生方には日頃より十分なご配慮の上、運搬いただいていることと存じますが、貴施設で
も周知くださいますようお願い申し上げます。
詳細は別紙、確認事項をご参照ください。
敬 具
＜問い合わせ先＞
公益財団法人日本骨髄バンク移植調整部
 TEL ０３-５２８０-４７７１
 FAX ０３-５２８０-３８５６",,,,,( 別紙 ),"以下、運搬業者(日本通運)および保安検査担当業者（ALSOK）に確認した内容です。
1. 発生の経緯
・運搬者は事前に出発カウンターで「運搬担当者証明書」を提示の上、骨髄液であることを説明。
カウンターより保安検査場へ「骨髄液及び運搬者が向かう」旨の連絡が入り、5 名の保安検査員に周知された。
・運搬者は保安検査場で、担当者に口頭で骨髄液であることを伝えたが、担当者は「カメラ」と聞き間違え、トレイに乗せて通過させてしまった。
・この時、運搬ボックス上部の「X 線・凍結厳禁」ステッカー部に運搬伝票を差し込んでいたため、「X 線厳禁」の文字が隠れていた。
・自身が金属探知機通過後、運搬者がボックスの X 線検査機通過に気づき指摘したが、既に止められなかった（この間の X 線通過時間は 5 秒程度）。
・骨髄液等の X 線回避については、空港・保安場ともに常時認識されている。
2. 原 因
・運搬者は骨髄液であると保安担当者に伝えたが、担当者が「カメラ」と聞き間違えた。
・運搬ボックス上部に運搬伝票を差し込んであったため「X 線厳禁」ステッカーが隠れていた。
3. 今後の対策
◎ALSOK(株)
・旅客からの申告内容は復唱することを即日周知した。
・骨髄液等のセキュリティチェック時の「X 線回避」について、運搬ボックスの形状や取り扱いに関する知識、検査手順の再周知を行う。
◎日本通運(株)
・各事業所の運搬担当者に対し当該事案の発生を周知した。また、下記事項を運搬手順書に追加・改訂する。
①保安検査場において、運搬ボックス上部の「X 線・凍結禁止」ステッカーが確実に表示されているかを再確認する。
②通常空港カウンターで提示している「運搬担当者証明書」を保安検査場でも提示し、担当者に X 線厳禁であることを再度伝える。
③保安検査場では、ボックスがＸ線検査機通過を回避していることを運搬者自身が目視確認する。
以上",,,,,,医療委員会通知,,骨髄採取,採取産物・採取バッグ関連,"日本造血細胞移植学会移植認定診療科責任医師 各位
移植医師 各位","（公財）日本骨髄バンク
医療委員会",2020年10月23日,2020/10/23,committee/20201023-1,,,
,,,doctor/20201015-1,非血縁者間末梢血幹細胞採取2日間とも採取不良であった事例について ,"平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
このたび、PBSCH を 2 日間実施し、初日は採取産物量、細胞数ともに少なく、2 日目は採
取産物が全くなかった事例が報告されました。本委員会では、当該施設からの報告書またテ
ルモ BCT の調査結果等をもとに検証を行い、採取認定施設へ周知することといたしました。

記

■概要
＊使用機器 Spectra Optia（MNC モード）
【1 日目】 9：20 採取開始、15：10 採取終了
総処理血液量：8775ml、採取血液量：40ml
有核細胞数：0.84×1010 、CD34 陽性絶対数：0.136×108、患者体重当たり：0.26×106

【2 日目】11：03 採取開始、15：20 採取終了 大腿静脈アクセスあり
総処理血液量：4989ml、採取血液量： 0ml、有核細胞数：0、CD34 陽性絶対数：0

・末梢血管の確保が困難であり、2 日目は大腿静脈を確保できたが採血流量が安定せず、イ
ンターフェイスの再形成を繰り返したことで、チャンバーへの充填が十分にできず 1 日目は
2 回（40ml）と少量の採取にとどまり、2 日目は 1 回も採取できずに終わる。

■本委員会の見解
ドナーの血算などは、通常のドナーと異なる点は見当たらない。テルモ BCT の報告書からは機器には問題がなかったと読み取れ、機器の操作を含む複数の要因が重なったため、採血の不良に至ったものと推測する。
初日の採取不良から採取 2 日目までの対応としても、初日の採取が通常と異なるにも関わらず、2 日目にも同様の操作が行われており、途中や終了後に相談するタイミングはあったが、テルモ BCT への相談は行われていなかった。
問題点は、異常を感じたときに危機感を持ってテルモ BCT への相談や骨髄バンクへの報告がなかったことである。

以上",,,,,,,,,,,,安全情報,医師宛通知文,末梢血幹細胞採取,医療機器,"非血縁者間末梢血幹細胞採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",2020年10月15日,2020/10/15,doctor/20201015-1,,,
,,,doctor/20201015-2,自己血が冷蔵状態で凝集があった事例について ,"平素より骨髄バンク事業の推進に格別のご高配を賜り、厚くお礼申し上げます。
このたび、骨髄採取術前日に自己血 2 バッグに凝集が確認され、寒冷凝集素症、発作性寒冷ヘモグロビン尿症などを疑い中止された事例が報告されました。
この報告を受け、本委員会で検討した結果、事例の共有、また自己血の凝集が採取直前
に発見されたということであり、下記対応について通知することといたしました。

記

1. 概要（当該施設からの報告書より）
入院時、自己血が冷蔵状態で 2 バッグとも凝集しており、明らかな寒冷凝集素と思われる反応があり、不規則抗体陽性であった。
自己血は室温に戻すと肉眼的には凝集は消失、血漿クリアでスメア標本では赤血球形態は保たれていることから、寒冷凝集素症、発作性寒冷ヘモグロビン尿症などを疑い、採取中止とした。また、術前検査では、冷式抗体を疑わせる非特異的な反応(1+)あり、弱い非特異的反応、冷式抗体の存在が疑われたが、抗体パネルスクリーニング陰性であったため、通常のクロスマッチの時と同様に臨床的意義のある抗体はないと勘違いし、不規則抗体陰性と結果報告した。今後このような事態が生じないよう輸血部と下記の 2 点について再確認した。
①強弱にかかわらず寒冷凝集素と思われる反応も必ず報告すること。
②自己血は保存時のみ凝血など目視確認はされていたが、後日、凝血・色調などの目視確認もすること。

2. 対応
このたびの症例を受け、保存自己血は定期的に観察（目視による凝血の有無、色調など）することが望ましい。

以上",,,,,,,,,,,,安全情報,医師宛通知文,骨髄採取,自己血,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",2020年10月15日,2020/10/15,doctor/20201015-2,,,
,,,doctor/20200514-2,新型コロナウイルス感染症対策における採取前検査（PCR 検査/CT 検査）を実施される施設の先生方へ(お願い),"新型コロナウイルス感染症（COVID-19）蔓延下、移植医療継続のため日々ご尽力を賜り感謝
申し上げます。

さて、COVID-19 拡大の現状において、一部の非血縁者間骨髄採取認定施設より、施設の方針により採取前（入院時等）に PCR 検査/CT 検査が導入され、採取予定ドナーに対しても実施する旨ご連絡を受けております。

つきましては、施設の方針により採取ドナーに対して検査を実施される場合には、事前にドナーの方へご説明（CT 検査においては被爆に関するリスク等を含め）をいただきますようお願いいたします。

今後とも骨髄バンク事業の推進にご協力の程お願い申し上げます。

以上",,,,,,,,,,,,通知,医師宛通知文,骨髄採取・末梢血幹細胞採取,その他,"非血縁者間骨髄採取認定施設
採 取 責 任 医 師 各 位","公益財団法人 日本骨髄バンク
理事長 小寺 良尚",2020年5月14日,2020/5/14,doctor/20200514-2,,,以前入力分と重複あり
,,,doctor/20200415-1,末梢血幹細胞採取完了報告書（ハーベストレポート）の項目追加について(通知) ,"平素より骨髄バンク事業の推進に格別のご高配を賜り厚く御礼申し上げます。
さて、末梢血幹細胞採取において、赤血球混入量が多く含まれていた症例が報告されており、移植施設よりハーベストレポートに「プロダクトのヘマトクリット値」の追加検討依頼があり、当法人医療委員会、ドナー安全委員会で検討の結果、ハーベストレポートに「ヘマトクリット値」の項目を追加することとなりましたので、ご対応くださいますようお願いいたします。

記
1. 運用開始 : ２０２０年 ４月 ２０日 帳票変更分より順次

2. 追加項目 ： ヘマトクリット値 ： ％
※採取産物の液量とヘマトクリット値から、20ml 以上の赤血球の混入量が想定される
血液型主不適合の移植の場合には、移植施設にて赤血球除去をご検討ください。

＊別紙 末梢血幹細胞採取完了報告書（ハーベストレポート） 参照

3. 項目追加の経緯 ：
血液型主不適合ドナーからの PBSC 移植時にプロダクトへの赤血球混入量が多く、患者へのリスク回避のため輸注前に急遽対応が必要となったケースが複数報告され、移植施設より輸注後のリスク評価、および赤血球処理の要否判断や対応準備が行える等により、ハーベストレポートにヘマトクリット値を追加することについて検討依頼があった。
 
＜移植施設の先生方へ＞
日本通運（株）へ運搬委託されている場合で、事前にヘマトクリット値を把握したい場合には、直接、採取施設へお問い合わせいただきますようお願いいたします。

以 上",,,,,末梢血幹細胞採取完了報告書（ハーベストレポート・1日目）,,,,,,,通知,医師宛通知文,末梢血幹細胞採取,採取産物・採取バッグ関連,"非血縁者間末梢血幹細胞採取/移植認定施設
採 取 責 任 医 師 各 位
輸 血 責 任 医 師 各 位
診 療 科 責 任 医 師 各 位
移 植 医 師 各 位","公益財団法人 日本骨髄バンク
医療委員会
ドナー安全委員会",2020年4月15日,2020/4/15,doctor/20200415-1,,,
,,,doctor/20200415-2,骨髄採取後、左中臀筋血腫事例について ,"このたび、骨髄採取を実施し、退院後(採取後 Day+7)に強い痛みを感じ歩行不能となり救急外来を受診、左中臀筋に血腫を認め再入院となった事例が報告されました。
本委員会で検討した結果、過去の同様事例についても骨髄採取退院後に症状が憎悪し再入院となっていることもあるため、情報共有の観点からご報告いたします。

■本事例に関し採取施設からの報告によれば以下のような経過です。

<ドナー情報> 20 歳代 男性

<経過>
Day 0 骨髄採取
Day +2 退院 Hb12.1 g/dl
Day +3 かがみ込んだ際に痛みあり、2－3 時間後に消失。以降も同様のエピソードあり
Day +5 外来受診
痛みは改善傾向であったためロキソニン 60mg x3 を開始し経過観察とした
Day +7 救急外来受診 再入院
立位で靴を履こうとした際に強い痛みがあり歩行不能、救急外来受診
単純 CT 検査、左中臀筋に最大径 12 ㎝程度の血腫を認めた。骨には穿刺痕が複数個所みられるが、骨盤腔内に及んでいるものは見当たらない
経静脈的にカルバゾクロムスルホン酸ナトリウム, トラネキサム酸開始、整形外科と相談のうえ安静・冷却にて経過観察。Hb 10.9 g/dl
Day +8 Hb 10.5 g/dl
Day+10 Hb 11.5 g/dl と上昇傾向、同日の造影 CT 検査でも活動性出血はないことを確認
Day+15 退院
 Hb 12.5 g/dl 超音波検査で血腫の増大傾向はなかったため、自宅安静とする
Day+23 再診
左臀部の血腫はほぼ触知せず、Hb 14.1 g/dl まで改善。跛行もほぼ消失","＜採取方法等について＞
・穿刺回数は左右とも約 50 回ずつ。皮膚の穿刺痕は左右２か所ずつ計４ヵ所。
・穿刺の方向は皮膚から腸骨稜に沿って垂直に穿刺した(CT でも骨に穿刺痕が見える)。
・骨髄採取マニュアル図 6 採取部位試案における部位１に相当すると考えます。部位 2、側方からの穿刺は行っておりません（下記 図 6 参照）。
・穿刺針シーマン 13G,2 インチ、骨髄腔に先端が到達したと考えられるあたりから 10mlシリンジを用いて約 10ml 採取し、穿刺後ガーゼで圧迫することを繰り返した。
・採取後は創部をガーゼで圧迫止血したのち、エラスティックテープを放射状に張り付けて圧迫を行った。
・術当日夕方に圧迫を解除し、血腫などないことを確認し、再度エラスティックテープで圧迫。翌日に圧迫を解除し、翌々日に血腫がないこと、Hb の低下が進行していないことを確認し退院とした。退院まではこれまでと変わりない経過でした。
・放射線科読影では、出血の責任血管は左上殿動脈であろうとのこと。明らかな破格はなさそうです。

以上

＜ご参考＞
■骨髄採取マニュアル ホームページ版 P29
https://www.jmdp.or.jp/medical/work/manual.html
画像
※同様事例 P31 骨髄採取後、左中臀筋内に血腫を認めた事例（2015 年 3 月）
（2015 年 4 月 緊急安全情報発出、2015 年 9 月 安全情報発出）
https://www.jmdp.or.jp/donation/donorflowup/04.html",,,,,,,,,,,安全情報,医師宛通知文,骨髄採取,ドナーの有害事象,"非血縁者間骨髄採取認定施設
採取責任医 師 各 位","公益財団法人 日本骨髄バンク
ドナー安全委員会",2020年4月15日,2020/4/15,doctor/20200415-2,,,"一部画像で入力していない箇所あり
以前入力分と重複あり"
